period,category,metric,value,unit,source
2019Q1,balance,assets,345.0679,조원,2020_1Q_conference_kor.pdf#p06
2019Q1,balance,equity,253.2152,조원,2020_1Q_conference_kor.pdf#p06
2019Q1,balance,liabilities,91.8527,조원,2020_1Q_conference_kor.pdf#p06
2019Q2,balance,assets,342.9401,조원,2020_2Q_conference_kor.pdf#p06
2019Q2,balance,equity,257.747,조원,2020_2Q_conference_kor.pdf#p06
2019Q2,balance,liabilities,85.1931,조원,2020_2Q_conference_kor.pdf#p06
2019Q3,balance,assets,353.386,조원,2020_3Q_conference_kor.pdf#p06
2019Q3,balance,equity,263.4423,조원,2020_3Q_conference_kor.pdf#p06
2019Q3,balance,liabilities,89.9437,조원,2020_3Q_conference_kor.pdf#p06
2019Q4,balance,assets,352.5645,조원,2020_1Q_conference_kor.pdf#p06
2019Q4,balance,equity,262.8804,조원,2020_1Q_conference_kor.pdf#p06
2019Q4,balance,liabilities,89.6841,조원,2020_1Q_conference_kor.pdf#p06
2020Q1,balance,assets,357.4575,조원,2020_1Q_conference_kor.pdf#p06
2020Q1,balance,equity,266.3877,조원,2020_1Q_conference_kor.pdf#p06
2020Q1,balance,liabilities,91.0698,조원,2020_1Q_conference_kor.pdf#p06
2020Q2,balance,assets,357.9595,조원,2020_2Q_conference_kor.pdf#p06
2020Q2,balance,equity,269.8078,조원,2020_2Q_conference_kor.pdf#p06
2020Q2,balance,liabilities,88.1517,조원,2020_2Q_conference_kor.pdf#p06
2020Q3,balance,assets,375.7887,조원,2020_3Q_conference_kor.pdf#p06
2020Q3,balance,equity,276.1361,조원,2020_3Q_conference_kor.pdf#p06
2020Q3,balance,liabilities,99.6526,조원,2020_3Q_conference_kor.pdf#p06
2020Q4,balance,assets,378.2357,조원,2020_4Q_conference_kor.pdf#p06
2020Q4,balance,equity,275.948,조원,2020_4Q_conference_kor.pdf#p06
2020Q4,balance,liabilities,102.2877,조원,2020_4Q_conference_kor.pdf#p06
