period,segment_code,segment_name_en,lineage_group,metric,value,scope,unit,source
2023FY,DS,Device Solutions,Semiconductor,op_profit,1.0,segment,조원,IR_PDF
2023FY,DX,Device eXperience,Consumer&Mobile,op_profit,1.1,segment,조원,IR_PDF
2023FY,DX,Device eXperience,Consumer&Mobile,revenue,10.0,segment,조원,IR_PDF
2023FY,Harman,Harman,Harman,op_profit,0.04,segment,조원,IR_PDF
2023FY,Harman,Harman,Harman,revenue,11.0,segment,조원,IR_PDF
2023FY,MX,Mobile eXperience,Consumer&Mobile,revenue,17.0,segment,조원,IR_PDF
2023FY,MX_NW,MX & Network,Consumer&Mobile,op_profit,0.7,segment,조원,IR_PDF
2023FY,MX_NW,MX & Network,Consumer&Mobile,revenue,15.0,segment,조원,IR_PDF
2023FY,Memory,Memory,Semiconductor,revenue,3.0,segment,조원,IR_PDF
2023FY,SDC,Samsung Display,Display,op_profit,0.6,segment,조원,IR_PDF
2023FY,SDC,Samsung Display,Display,revenue,2.0,segment,조원,IR_PDF
2023FY,Total,Total,Total,op_profit,2.7,segment,조원,IR_PDF
2023FY,Total,Total,Total,revenue,4.0,segment,조원,IR_PDF
2023FY,VD,Visual Display,Consumer&Mobile,revenue,13.0,segment,조원,IR_PDF
2023FY,VD_DA,VD & DA,Consumer&Mobile,op_profit,0.4,segment,조원,IR_PDF
2023FY,VD_DA,VD & DA,Consumer&Mobile,revenue,2.0,segment,조원,IR_PDF
2023Q1,DS,Device Solutions,Semiconductor,op_profit,-4.58,segment,조원,IR_PDF
2023Q1,DS,Device Solutions,Semiconductor,revenue,13.73,segment,조원,IR_PDF
2023Q1,DX,Device eXperience,Consumer&Mobile,op_profit,4.21,segment,조원,IR_PDF
2023Q1,DX,Device eXperience,Consumer&Mobile,revenue,46.22,segment,조원,IR_PDF
2023Q1,Harman,Harman,Harman,op_profit,0.13,segment,조원,IR_PDF
2023Q1,Harman,Harman,Harman,revenue,3.17,segment,조원,IR_PDF
2023Q1,MX,Mobile eXperience,Consumer&Mobile,revenue,30.74,segment,조원,IR_PDF
2023Q1,MX_NW,MX & Network,Consumer&Mobile,op_profit,3.94,segment,조원,IR_PDF
2023Q1,MX_NW,MX & Network,Consumer&Mobile,revenue,31.82,segment,조원,IR_PDF
2023Q1,Memory,Memory,Semiconductor,revenue,8.92,segment,조원,IR_PDF
2023Q1,SDC,Samsung Display,Display,op_profit,0.78,segment,조원,IR_PDF
2023Q1,SDC,Samsung Display,Display,revenue,6.61,segment,조원,IR_PDF
2023Q1,Total,Total,Total,op_profit,0.64,segment,조원,IR_PDF
2023Q1,Total,Total,Total,revenue,63.75,segment,조원,IR_PDF
2023Q1,VD,Visual Display,Consumer&Mobile,revenue,7.43,segment,조원,IR_PDF
2023Q1,VD_DA,VD & Home Appliances,Consumer&Mobile,op_profit,0.19,segment,조원,IR_PDF
2023Q1,VD_DA,VD & Home Appliances,Consumer&Mobile,revenue,14.08,segment,조원,IR_PDF
2023Q2,DS,Device Solutions,Semiconductor,op_profit,-4.36,segment,조원,IR_PDF
2023Q2,DS,Device Solutions,Semiconductor,revenue,14.73,segment,조원,IR_PDF
2023Q2,DX,Device eXperience,Consumer&Mobile,op_profit,3.83,segment,조원,IR_PDF
2023Q2,DX,Device eXperience,Consumer&Mobile,revenue,40.21,segment,조원,IR_PDF
2023Q2,Harman,Harman,Harman,op_profit,0.25,segment,조원,IR_PDF
2023Q2,Harman,Harman,Harman,revenue,3.5,segment,조원,IR_PDF
2023Q2,MX,Mobile eXperience,Consumer&Mobile,op_profit,3.04,segment,조원,IR_PDF
2023Q2,MX,Mobile eXperience,Consumer&Mobile,revenue,24.61,segment,조원,IR_PDF
2023Q2,Memory,Memory,Semiconductor,revenue,8.97,segment,조원,IR_PDF
2023Q2,SDC,Samsung Display,Display,op_profit,0.84,segment,조원,IR_PDF
2023Q2,SDC,Samsung Display,Display,revenue,6.48,segment,조원,IR_PDF
2023Q2,Total,Total,Total,op_profit,0.67,segment,조원,IR_PDF
2023Q2,Total,Total,Total,revenue,60.01,segment,조원,IR_PDF
2023Q2,VD,Visual Display,Consumer&Mobile,revenue,7.25,segment,조원,IR_PDF
2023Q2,VD_DA,VD & DA,Consumer&Mobile,op_profit,0.74,segment,조원,IR_PDF
