period,segment_code,segment_name_en,lineage_group,metric,value,scope,unit,source
2023Q2,VD_DA,VD & DA,Consumer&Mobile,revenue,14.39,segment,조원,IR_PDF
2023Q3,DS,Device Solutions,Semiconductor,op_profit,-3.75,segment,조원,IR_PDF
2023Q3,DS,Device Solutions,Semiconductor,revenue,16.44,segment,조원,IR_PDF
2023Q3,DX,Device eXperience,Consumer&Mobile,op_profit,3.73,segment,조원,IR_PDF
2023Q3,DX,Device eXperience,Consumer&Mobile,revenue,44.02,segment,조원,IR_PDF
2023Q3,Harman,Harman,Harman,op_profit,0.45,segment,조원,IR_PDF
2023Q3,Harman,Harman,Harman,revenue,3.8,segment,조원,IR_PDF
2023Q3,MX,Mobile eXperience,Consumer&Mobile,op_profit,3.3,segment,조원,IR_PDF
2023Q3,MX,Mobile eXperience,Consumer&Mobile,revenue,29.25,segment,조원,IR_PDF
2023Q3,Memory,Memory,Semiconductor,revenue,10.53,segment,조원,IR_PDF
2023Q3,SDC,Samsung Display,Display,op_profit,1.94,segment,조원,IR_PDF
2023Q3,SDC,Samsung Display,Display,revenue,8.22,segment,조원,IR_PDF
2023Q3,Total,Total,Total,op_profit,2.43,segment,조원,IR_PDF
2023Q3,Total,Total,Total,revenue,67.4,segment,조원,IR_PDF
2023Q3,VD,Visual Display,Consumer&Mobile,revenue,7.32,segment,조원,IR_PDF
2023Q3,VD_DA,VD & DA,Consumer&Mobile,op_profit,0.38,segment,조원,IR_PDF
2023Q3,VD_DA,VD & DA,Consumer&Mobile,revenue,13.71,segment,조원,IR_PDF
2023Q4,DS,Device Solutions,Semiconductor,op_profit,-2.2,segment,조원,IR_PDF
2023Q4,DS,Device Solutions,Semiconductor,revenue,21.69,segment,조원,IR_PDF
2023Q4,DX,Device eXperience,Consumer&Mobile,op_profit,2.6,segment,조원,IR_PDF
2023Q4,DX,Device eXperience,Consumer&Mobile,revenue,39.5,segment,조원,IR_PDF
2023Q4,Harman,Harman,Harman,op_profit,0.3,segment,조원,IR_PDF
2023Q4,Harman,Harman,Harman,revenue,3.9,segment,조원,IR_PDF
2023Q4,MX,Mobile eXperience,Consumer&Mobile,revenue,24.0,segment,조원,IR_PDF
2023Q4,MX_NW,MX & Network,Consumer&Mobile,op_profit,2.7,segment,조원,IR_PDF
2023Q4,MX_NW,MX & Network,Consumer&Mobile,revenue,25.0,segment,조원,IR_PDF
2023Q4,Memory,Memory,Semiconductor,revenue,15.7,segment,조원,IR_PDF
2023Q4,SDC,Samsung Display,Display,op_profit,2.0,segment,조원,IR_PDF
2023Q4,SDC,Samsung Display,Display,revenue,9.7,segment,조원,IR_PDF
2023Q4,Total,Total,Total,op_profit,2.8,segment,조원,IR_PDF
2023Q4,Total,Total,Total,revenue,67.8,segment,조원,IR_PDF
2023Q4,VD,Visual Display,Consumer&Mobile,revenue,8.4,segment,조원,IR_PDF
2023Q4,VD_DA,VD & DA,Consumer&Mobile,op_profit,-0.1,segment,조원,IR_PDF
2023Q4,VD_DA,VD & DA,Consumer&Mobile,revenue,14.3,segment,조원,IR_PDF
2024FY,DS,Device Solutions,Semiconductor,op_profit,5.0,segment,조원,IR_PDF
2024FY,DX,Device eXperience,Consumer&Mobile,op_profit,0.3,segment,조원,IR_PDF
2024FY,DX,Device eXperience,Consumer&Mobile,revenue,2.0,segment,조원,IR_PDF
2024FY,Harman,Harman,Harman,op_profit,0.05,segment,조원,IR_PDF
2024FY,Harman,Harman,Harman,revenue,0.04,segment,조원,IR_PDF
2024FY,MX,Mobile eXperience,Consumer&Mobile,revenue,4.0,segment,조원,IR_PDF
2024FY,MX_NW,MX & Network,Consumer&Mobile,op_profit,0.6,segment,조원,IR_PDF
2024FY,MX_NW,MX & Network,Consumer&Mobile,revenue,3.0,segment,조원,IR_PDF
2024FY,Memory,Memory,Semiconductor,revenue,46.0,segment,조원,IR_PDF
2024FY,SDC,Samsung Display,Display,op_profit,1.1,segment,조원,IR_PDF
2024FY,SDC,Samsung Display,Display,revenue,16.0,segment,조원,IR_PDF
2024FY,Total,Total,Total,op_profit,3.7,segment,조원,IR_PDF
2024FY,Total,Total,Total,revenue,12.0,segment,조원,IR_PDF
2024FY,VD,Visual Display,Consumer&Mobile,revenue,2.0,segment,조원,IR_PDF
2024FY,VD_DA,VD & DA,Consumer&Mobile,op_profit,0.2,segment,조원,IR_PDF
2024FY,VD_DA,VD & DA,Consumer&Mobile,revenue,1.0,segment,조원,IR_PDF
2024Q1,DS,Device Solutions,Semiconductor,op_profit,1.91,segment,조원,IR_PDF
2024Q1,DS,Device Solutions,Semiconductor,revenue,23.14,segment,조원,IR_PDF
2024Q1,DX,Device eXperience,Consumer&Mobile,op_profit,4.07,segment,조원,IR_PDF
2024Q1,DX,Device eXperience,Consumer&Mobile,revenue,47.29,segment,조원,IR_PDF
2024Q1,Harman,Harman,Harman,op_profit,0.24,segment,조원,IR_PDF
2024Q1,Harman,Harman,Harman,revenue,3.2,segment,조원,IR_PDF
2024Q1,MX,Mobile eXperience,Consumer&Mobile,op_profit,3.51,segment,조원,IR_PDF
2024Q1,MX,Mobile eXperience,Consumer&Mobile,revenue,32.79,segment,조원,IR_PDF
2024Q1,MX_NW,MX & Network,Consumer&Mobile,op_profit,3.51,segment,조원,IR_PDF
2024Q1,MX_NW,MX & Network,Consumer&Mobile,revenue,33.53,segment,조원,IR_PDF
2024Q1,Memory,Memory,Semiconductor,revenue,17.49,segment,조원,IR_PDF
2024Q1,SDC,Samsung Display,Display,op_profit,0.34,segment,조원,IR_PDF
2024Q1,SDC,Samsung Display,Display,revenue,5.39,segment,조원,IR_PDF
2024Q1,Total,Total,Total,op_profit,6.61,segment,조원,IR_PDF
2024Q1,Total,Total,Total,revenue,71.92,segment,조원,IR_PDF
2024Q1,VD,Visual Display,Consumer&Mobile,revenue,7.23,segment,조원,IR_PDF
2024Q1,VD_DA,VD & DA,Consumer&Mobile,op_profit,0.53,segment,조원,IR_PDF
2024Q1,VD_DA,VD & DA,Consumer&Mobile,revenue,13.48,segment,조원,IR_PDF
2024Q2,DS,Device Solutions,Semiconductor,op_profit,6.45,segment,조원,IR_PDF
2024Q2,DS,Device Solutions,Semiconductor,revenue,28.56,segment,조원,IR_PDF
2024Q2,DX,Device eXperience,Consumer&Mobile,op_profit,2.72,segment,조원,IR_PDF
2024Q2,DX,Device eXperience,Consumer&Mobile,revenue,42.07,segment,조원,IR_PDF
2024Q2,Harman,Harman,Harman,op_profit,0.32,segment,조원,IR_PDF
2024Q2,Harman,Harman,Harman,revenue,3.62,segment,조원,IR_PDF
2024Q2,MX,Mobile eXperience,Consumer&Mobile,op_profit,2.23,segment,조원,IR_PDF
2024Q2,MX,Mobile eXperience,Consumer&Mobile,revenue,26.64,segment,조원,IR_PDF
2024Q2,Memory,Memory,Semiconductor,revenue,21.74,segment,조원,IR_PDF
2024Q2,SDC,Samsung Display,Display,op_profit,1.01,segment,조원,IR_PDF
2024Q2,SDC,Samsung Display,Display,revenue,7.65,segment,조원,IR_PDF
2024Q2,Total,Total,Total,op_profit,10.44,segment,조원,IR_PDF
2024Q2,Total,Total,Total,revenue,74.07,segment,조원,IR_PDF
2024Q2,VD,Visual Display,Consumer&Mobile,revenue,7.54,segment,조원,IR_PDF
2024Q2,VD_DA,VD & DA,Consumer&Mobile,op_profit,0.49,segment,조원,IR_PDF
2024Q2,VD_DA,VD & DA,Consumer&Mobile,revenue,14.42,segment,조원,IR_PDF
2024Q3,DS,Device Solutions,Semiconductor,op_profit,3.9,segment,조원,IR_PDF
2024Q3,DS,Device Solutions,Semiconductor,revenue,29.27,segment,조원,IR_PDF
2024Q3,DX,Device eXperience,Consumer&Mobile,op_profit,3.4,segment,조원,IR_PDF
2024Q3,DX,Device eXperience,Consumer&Mobile,revenue,45.0,segment,조원,IR_PDF
2024Q3,Harman,Harman,Harman,op_profit,0.4,segment,조원,IR_PDF
2024Q3,Harman,Harman,Harman,revenue,3.5,segment,조원,IR_PDF
2024Q3,MX,Mobile eXperience,Consumer&Mobile,op_profit,2.82,segment,조원,IR_PDF
2024Q3,MX,Mobile eXperience,Consumer&Mobile,revenue,30.0,segment,조원,IR_PDF
2024Q3,MX_NW,MX & Network,Consumer&Mobile,op_profit,2.8,segment,조원,IR_PDF
2024Q3,MX_NW,MX & Network,Consumer&Mobile,revenue,30.5,segment,조원,IR_PDF
2024Q3,Memory,Memory,Semiconductor,revenue,22.3,segment,조원,IR_PDF
2024Q3,SDC,Samsung Display,Display,op_profit,1.5,segment,조원,IR_PDF
2024Q3,SDC,Samsung Display,Display,revenue,8.0,segment,조원,IR_PDF
2024Q3,Total,Total,Total,op_profit,9.2,segment,조원,IR_PDF
2024Q3,Total,Total,Total,revenue,79.1,segment,조원,IR_PDF
2024Q3,VD,Visual Display,Consumer&Mobile,revenue,7.6,segment,조원,IR_PDF
2024Q3,VD_DA,VD & DA,Consumer&Mobile,op_profit,0.5,segment,조원,IR_PDF
2024Q3,VD_DA,VD & DA,Consumer&Mobile,revenue,14.1,segment,조원,IR_PDF
2024Q4,DS,Device Solutions,Semiconductor,op_profit,2.9,segment,조원,IR_PDF
2024Q4,DX,Device eXperience,Consumer&Mobile,op_profit,2.3,segment,조원,IR_PDF
2024Q4,DX,Device eXperience,Consumer&Mobile,revenue,40.5,segment,조원,IR_PDF
2024Q4,Harman,Harman,Harman,op_profit,0.4,segment,조원,IR_PDF
2024Q4,Harman,Harman,Harman,revenue,3.9,segment,조원,IR_PDF
2024Q4,MX,Mobile eXperience,Consumer&Mobile,revenue,25.0,segment,조원,IR_PDF
2024Q4,MX_NW,MX & Network,Consumer&Mobile,op_profit,2.1,segment,조원,IR_PDF
2024Q4,MX_NW,MX & Network,Consumer&Mobile,revenue,25.8,segment,조원,IR_PDF
2024Q4,Memory,Memory,Semiconductor,revenue,23.0,segment,조원,IR_PDF
2024Q4,SDC,Samsung Display,Display,op_profit,0.9,segment,조원,IR_PDF
2024Q4,SDC,Samsung Display,Display,revenue,8.1,segment,조원,IR_PDF
2024Q4,Total,Total,Total,op_profit,6.5,segment,조원,IR_PDF
2024Q4,Total,Total,Total,revenue,75.8,segment,조원,IR_PDF
2024Q4,VD,Visual Display,Consumer&Mobile,revenue,8.6,segment,조원,IR_PDF
2024Q4,VD_DA,VD & DA,Consumer&Mobile,op_profit,0.2,segment,조원,IR_PDF
2024Q4,VD_DA,VD & DA,Consumer&Mobile,revenue,14.4,segment,조원,IR_PDF
