period,segment_code,segment_name_en,lineage_group,metric,value,scope,unit,source
2020Q2,Harman,Harman,Harman,revenue,1.54,segment,조원,2020_2Q_conference_kor.pdf#p03
2020Q2,IM,IT & Mobile communications,Consumer&Mobile,op_profit,1.95,segment,조원,2020_2Q_conference_kor.pdf#p03
2020Q2,IM,IT & Mobile communications,Consumer&Mobile,revenue,20.75,segment,조원,2020_2Q_conference_kor.pdf#p03
2020Q2,Total,Total,Total,op_profit,8.15,segment,조원,2020_2Q_conference_kor.pdf#p03
2020Q2,Total,Total,Total,revenue,52.97,segment,조원,2020_2Q_conference_kor.pdf#p03
2020Q3,CE,Consumer Electronics,Consumer&Mobile,op_profit,1.56,segment,조원,2020_3Q_conference_kor.pdf#p03
2020Q3,CE,Consumer Electronics,Consumer&Mobile,revenue,14.09,segment,조원,2020_3Q_conference_kor.pdf#p03
2020Q3,DS,Device Solutions,Semiconductor,op_profit,6.04,segment,조원,2020_3Q_conference_kor.pdf#p03
2020Q3,DS,Device Solutions,Semiconductor,revenue,25.93,segment,조원,2020_3Q_conference_kor.pdf#p03
2020Q3,Harman,Harman,Harman,op_profit,0.15,segment,조원,2020_3Q_conference_kor.pdf#p03
2020Q3,Harman,Harman,Harman,revenue,2.62,segment,조원,2020_3Q_conference_kor.pdf#p03
2020Q3,IM,IT & Mobile communications,Consumer&Mobile,op_profit,4.45,segment,조원,2020_3Q_conference_kor.pdf#p03
2020Q3,IM,IT & Mobile communications,Consumer&Mobile,revenue,30.49,segment,조원,2020_3Q_conference_kor.pdf#p03
2020Q3,Total,Total,Total,op_profit,12.35,segment,조원,2020_3Q_conference_kor.pdf#p03
2020Q3,Total,Total,Total,revenue,66.96,segment,조원,2020_3Q_conference_kor.pdf#p03
2020Q4,CE,Consumer Electronics,Consumer&Mobile,op_profit,0.82,segment,조원,2020_4Q_conference_kor.pdf#p03
2020Q4,CE,Consumer Electronics,Consumer&Mobile,revenue,13.61,segment,조원,2020_4Q_conference_kor.pdf#p03
2020Q4,DS,Device Solutions,Semiconductor,op_profit,5.63,segment,조원,2020_4Q_conference_kor.pdf#p03
2020Q4,DS,Device Solutions,Semiconductor,revenue,27.92,segment,조원,2020_4Q_conference_kor.pdf#p03
2020Q4,Harman,Harman,Harman,op_profit,0.18,segment,조원,2020_4Q_conference_kor.pdf#p03
2020Q4,Harman,Harman,Harman,revenue,2.92,segment,조원,2020_4Q_conference_kor.pdf#p03
2020Q4,IM,IT & Mobile communications,Consumer&Mobile,op_profit,2.42,segment,조원,2020_4Q_conference_kor.pdf#p03
2020Q4,IM,IT & Mobile communications,Consumer&Mobile,revenue,22.34,segment,조원,2020_4Q_conference_kor.pdf#p03
2020Q4,Total,Total,Total,op_profit,9.05,segment,조원,2020_4Q_conference_kor.pdf#p03
2020Q4,Total,Total,Total,revenue,61.55,segment,조원,2020_4Q_conference_kor.pdf#p03
