period,segment_code,segment_name_en,lineage_group,metric,value,scope,unit,source
2024Q1,DS,Device Solutions,Semiconductor,op_profit,1.9,segment,조원,IR_PDF
2024Q1,DS,Device Solutions,Semiconductor,revenue,23.1,segment,조원,IR_PDF
2024Q1,DX,Device eXperience,Consumer&Mobile,op_profit,4.1,segment,조원,IR_PDF
2024Q1,DX,Device eXperience,Consumer&Mobile,revenue,47.3,segment,조원,IR_PDF
2024Q1,Harman,Harman,Harman,op_profit,0.2,segment,조원,IR_PDF
2024Q1,Harman,Harman,Harman,revenue,3.2,segment,조원,IR_PDF
2024Q1,MX,Mobile eXperience,Consumer&Mobile,op_profit,7.0,segment,조원,IR_PDF
2024Q1,MX,Mobile eXperience,Consumer&Mobile,revenue,32.8,segment,조원,IR_PDF
2024Q1,MX_NW,MX & Network,Consumer&Mobile,op_profit,3.5,segment,조원,IR_PDF
2024Q1,MX_NW,MX & Network,Consumer&Mobile,revenue,33.5,segment,조원,IR_PDF
2024Q1,Memory,Memory,Semiconductor,revenue,17.5,segment,조원,IR_PDF
2024Q1,SDC,Samsung Display,Display,op_profit,0.3,segment,조원,IR_PDF
2024Q1,SDC,Samsung Display,Display,revenue,5.4,segment,조원,IR_PDF
2024Q1,Total,Total,Total,op_profit,6.6,segment,조원,IR_PDF
2024Q1,Total,Total,Total,revenue,71.9,segment,조원,IR_PDF
2024Q1,VD,Visual Display,Consumer&Mobile,revenue,7.2,segment,조원,IR_PDF
2024Q1,VD_DA,VD & DA,Consumer&Mobile,op_profit,0.5,segment,조원,IR_PDF
2024Q1,VD_DA,VD & DA,Consumer&Mobile,revenue,13.5,segment,조원,IR_PDF
2024Q2,DS,Device Solutions,Semiconductor,op_profit,6.5,segment,조원,IR_PDF
2024Q2,DS,Device Solutions,Semiconductor,revenue,28.6,segment,조원,IR_PDF
2024Q2,DX,Device eXperience,Consumer&Mobile,op_profit,2.7,segment,조원,IR_PDF
2024Q2,DX,Device eXperience,Consumer&Mobile,revenue,42.1,segment,조원,IR_PDF
2024Q2,Harman,Harman,Harman,op_profit,0.3,segment,조원,IR_PDF
2024Q2,Harman,Harman,Harman,revenue,3.6,segment,조원,IR_PDF
2024Q2,MX,Mobile eXperience,Consumer&Mobile,op_profit,6.0,segment,조원,IR_PDF
2024Q2,MX,Mobile eXperience,Consumer&Mobile,revenue,26.6,segment,조원,IR_PDF
2024Q2,MX_NW,MX & Network,Consumer&Mobile,op_profit,2.2,segment,조원,IR_PDF
2024Q2,MX_NW,MX & Network,Consumer&Mobile,revenue,27.4,segment,조원,IR_PDF
2024Q2,Memory,Memory,Semiconductor,revenue,21.7,segment,조원,IR_PDF
2024Q2,SDC,Samsung Display,Display,op_profit,1.0,segment,조원,IR_PDF
2024Q2,SDC,Samsung Display,Display,revenue,7.6,segment,조원,IR_PDF
2024Q2,Total,Total,Total,op_profit,10.4,segment,조원,IR_PDF
2024Q2,Total,Total,Total,revenue,74.1,segment,조원,IR_PDF
2024Q2,VD,Visual Display,Consumer&Mobile,revenue,7.5,segment,조원,IR_PDF
2024Q2,VD_DA,VD & DA,Consumer&Mobile,op_profit,0.5,segment,조원,IR_PDF
2024Q2,VD_DA,VD & DA,Consumer&Mobile,revenue,14.4,segment,조원,IR_PDF
2024Q4,DS,Device Solutions,Semiconductor,op_profit,2.9,segment,조원,IR_PDF
2024Q4,DS,Device Solutions,Semiconductor,revenue,30.1,segment,조원,IR_PDF
2024Q4,DX,Device eXperience,Consumer&Mobile,op_profit,2.3,segment,조원,IR_PDF
2024Q4,DX,Device eXperience,Consumer&Mobile,revenue,40.5,segment,조원,IR_PDF
2024Q4,Harman,Harman,Harman,op_profit,0.4,segment,조원,IR_PDF
2024Q4,Harman,Harman,Harman,revenue,3.9,segment,조원,IR_PDF
2024Q4,MX,Mobile eXperience,Consumer&Mobile,revenue,25.0,segment,조원,IR_PDF
2024Q4,MX_NW,MX & Network,Consumer&Mobile,op_profit,2.1,segment,조원,IR_PDF
2024Q4,MX_NW,MX & Network,Consumer&Mobile,revenue,25.8,segment,조원,IR_PDF
