period,metric,value,category,unit
2019Q1,assets,345.0679,,조원
2019Q1,equity,253.2152,,조원
2019Q1,liabilities,91.8527,,조원
2019Q2,assets,342.9401,,조원
2019Q2,equity,257.747,,조원
2019Q2,liabilities,85.1931,,조원
2019Q3,assets,353.386,,조원
2019Q3,equity,263.4423,,조원
2019Q3,liabilities,89.9437,,조원
2019Q4,assets,352.5645,,조원
2019Q4,equity,262.8804,,조원
2019Q4,liabilities,89.6841,,조원
2020Q1,assets,357.4575,,조원
2020Q1,equity,266.3877,,조원
2020Q1,liabilities,91.0698,,조원
2020Q2,assets,357.9595,,조원
2020Q2,equity,269.8078,,조원
2020Q2,liabilities,88.1517,,조원
2020Q3,assets,375.7887,,조원
2020Q3,equity,276.1361,,조원
2020Q3,liabilities,99.6526,,조원
2020Q4,assets,378.2357,,조원
2020Q4,equity,275.948,,조원
2020Q4,liabilities,102.2877,,조원
