period,segment_code,segment_name_en,lineage_group,metric,value,scope,unit,source
2019Q1,CE,Consumer Electronics,Consumer&Mobile,op_profit,0.51,,조원,2020_1Q_conference_kor.pdf#p03
2019Q1,CE,Consumer Electronics,Consumer&Mobile,revenue,10.17,,조원,2020_1Q_conference_kor.pdf#p03
2019Q1,DS,Device Solutions,Semiconductor,op_profit,3.54,,조원,2020_1Q_conference_kor.pdf#p03
2019Q1,DS,Device Solutions,Semiconductor,revenue,20.62,,조원,2020_1Q_conference_kor.pdf#p03
2019Q1,Harman,Harman,Harman,op_profit,0.01,,조원,2020_1Q_conference_kor.pdf#p03
2019Q1,Harman,Harman,Harman,revenue,2.19,,조원,2020_1Q_conference_kor.pdf#p03
2019Q1,IM,IT & Mobile communications,Consumer&Mobile,op_profit,2.27,,조원,2020_1Q_conference_kor.pdf#p03
2019Q1,IM,IT & Mobile communications,Consumer&Mobile,revenue,27.2,,조원,2020_1Q_conference_kor.pdf#p03
2019Q1,Total,Total,Total,op_profit,6.23,,조원,2020_1Q_conference_kor.pdf#p03
2019Q1,Total,Total,Total,revenue,52.39,,조원,2020_1Q_conference_kor.pdf#p03
2019Q2,CE,Consumer Electronics,Consumer&Mobile,op_profit,0.69,,조원,2020_2Q_conference_kor.pdf#p03
2019Q2,CE,Consumer Electronics,Consumer&Mobile,revenue,11.21,,조원,2020_2Q_conference_kor.pdf#p03
2019Q2,DS,Device Solutions,Semiconductor,op_profit,4.15,,조원,2020_2Q_conference_kor.pdf#p03
2019Q2,DS,Device Solutions,Semiconductor,revenue,23.53,,조원,2020_2Q_conference_kor.pdf#p03
2019Q2,Harman,Harman,Harman,op_profit,0.09,,조원,2020_2Q_conference_kor.pdf#p03
2019Q2,Harman,Harman,Harman,revenue,2.52,,조원,2020_2Q_conference_kor.pdf#p03
2019Q2,IM,IT & Mobile communications,Consumer&Mobile,op_profit,1.56,,조원,2020_2Q_conference_kor.pdf#p03
2019Q2,IM,IT & Mobile communications,Consumer&Mobile,revenue,25.86,,조원,2020_2Q_conference_kor.pdf#p03
2019Q2,Total,Total,Total,op_profit,6.6,,조원,2020_2Q_conference_kor.pdf#p03
2019Q2,Total,Total,Total,revenue,56.13,,조원,2020_2Q_conference_kor.pdf#p03
2019Q3,CE,Consumer Electronics,Consumer&Mobile,op_profit,0.52,,조원,2020_3Q_conference_kor.pdf#p03
