period,metric,value,category,unit
2019Q1,cash_begin,104.21,,조원
2019Q1,cash_end,102.04,,조원
2019Q1,cfo,5.24,,조원
2019Q2,cash_begin,102.04,,조원
2019Q2,cash_end,99.31,,조원
2019Q2,cfo,6.59,,조원
2019Q3,cash_begin,99.31,,조원
2019Q3,cash_change,5.68,,조원
2019Q3,cash_end,104.99,,조원
2019Q3,cfo,13.83,,조원
2019Q4,cash_begin,104.99,,조원
2019Q4,cash_change,7.16,,조원
2019Q4,cash_end,112.15,,조원
2019Q4,cfo,19.72,,조원
2020Q1,cash_begin,112.15,,조원
2020Q1,cash_change,1.05,,조원
2020Q1,cash_end,113.2,,조원
2020Q1,cfo,11.83,,조원
2020Q2,cash_begin,113.2,,조원
2020Q2,cash_change,0.2,,조원
2020Q2,cash_end,113.4,,조원
2020Q2,cfo,14.8,,조원
2020Q3,cash_begin,113.4,,조원
2020Q3,cash_change,4.52,,조원
2020Q3,cash_end,117.91,,조원
2020Q3,cff,0.5,,조원
2020Q3,cfo,14.14,,조원
2020Q4,cash_begin,117.91,,조원
2020Q4,cash_change,6.82,,조원
2020Q4,cash_end,124.73,,조원
2020Q4,cfo,24.51,,조원
