account,period,value
cff,2024Q3,-2178542000000.0
cfi,2024Q3,-25382795000000.0
cfo,2024Q3,22198634000000.0
op_profit,2024Q3,-1260507000000.0
revenue,2024Q3,5030429000000.0
cff,2024Q4,-2781085000000.0
cfi,2024Q4,-11867922000000.0
cfo,2024Q4,22022271000000.0
op_profit,2024Q4,23542590000000.0
revenue,2024Q4,221772172000000.0
cff,2025Q1,-11341720000000.0
cfi,2025Q1,-6431187000000.0
cfo,2025Q1,16580866000000.0
op_profit,2025Q1,6685272000000.0
revenue,2025Q1,79140503000000.0
cff,2025Q2,-3406690000000.0
cfi,2025Q2,-17742316000000.0
cfo,2025Q2,17360136000000.0
op_profit,2025Q2,-2009215000000.0
revenue,2025Q2,-4574186000000.0
cash,2015Q4,22636744000000.0
ar,2015Q4,25168026000000.0
inventory,2015Q4,18811794000000.0
assets_total,2015Q4,242179521000000.0
cash_change,2015Q4,6320465000000.0
cash_change,2015Q4,5795978000000.0
cash_begin,2015Q4,16840766000000.0
cash_end,2015Q4,22636744000000.0
cash,2016Q1,24769756000000.0
ar,2016Q1,25505630000000.0
inventory,2016Q1,18749882000000.0
assets_total,2016Q1,241239789000000.0
cash_change,2016Q1,2066056000000.0
cash_change,2016Q1,2133012000000.0
cash_begin,2016Q1,22636744000000.0
cash_end,2016Q1,24769756000000.0
cash,2016Q2,25840759000000.0
ar,2016Q2,26081803000000.0
inventory,2016Q2,17858721000000.0
assets_total,2016Q2,243960673000000.0
cash_change,2016Q2,3117653000000.0
cash_change,2016Q2,3204015000000.0
cash_begin,2016Q2,22636744000000.0
cash_end,2016Q2,25840759000000.0
cash,2016Q3,25267569000000.0
ar,2016Q3,21693242000000.0
inventory,2016Q3,18378245000000.0
assets_total,2016Q3,244471456000000.0
cash_change,2016Q3,3781438000000.0
cash_change,2016Q3,2630825000000.0
cash_begin,2016Q3,22636744000000.0
cash_end,2016Q3,25267569000000.0
cash,2016Q4,32111442000000.0
ar,2016Q4,24279211000000.0
inventory,2016Q4,18353503000000.0
assets_total,2016Q4,262174324000000.0
cash_change,2016Q4,9057455000000.0
cash_change,2016Q4,9474698000000.0
cash_begin,2016Q4,22636744000000.0
cash_end,2016Q4,32111442000000.0
cash,2017Q1,27562938000000.0
ar,2017Q1,22340688000000.0
inventory,2017Q1,21857598000000.0
assets_total,2017Q1,264217372000000.0
cash_change,2017Q1,-2756760000000.0
cash_change,2017Q1,-4548504000000.0
cash_begin,2017Q1,32111442000000.0
cash_end,2017Q1,27562938000000.0
cash,2017Q2,29007086000000.0
ar,2017Q2,27585923000000.0
inventory,2017Q2,23020912000000.0
assets_total,2017Q2,277589436000000.0
cash_change,2017Q2,-2250695000000.0
cash_change,2017Q2,-3104356000000.0
cash_begin,2017Q2,32111442000000.0
cash_end,2017Q2,29007086000000.0
cash,2017Q3,30788226000000.0
ar,2017Q3,30351245000000.0
inventory,2017Q3,27032501000000.0
assets_total,2017Q3,296578579000000.0
cash_change,2017Q3,-1031843000000.0
cash_change,2017Q3,-1323216000000.0
cash_begin,2017Q3,32111442000000.0
cash_end,2017Q3,30788226000000.0
cash,2017Q4,30545130000000.0
ar,2017Q4,27695995000000.0
inventory,2017Q4,24983355000000.0
assets_total,2017Q4,301752090000000.0
cash_change,2017Q4,215958000000.0
cash_change,2017Q4,-1566312000000.0
cash_begin,2017Q4,32111442000000.0
cash_end,2017Q4,30545130000000.0
cash,2018Q1,32303752000000.0
ar,2018Q1,35370654000000.0
inventory,2018Q1,26470871000000.0
assets_total,2018Q1,312473113000000.0
cash_change,2018Q1,1758622000000.0
cash_begin,2018Q1,30545130000000.0
cash_end,2018Q1,32303752000000.0
cash,2018Q2,31362222000000.0
ar,2018Q2,35013060000000.0
inventory,2018Q2,27358767000000.0
assets_total,2018Q2,318688380000000.0
cash,2018Q2,817092000000.0
cash_begin,2018Q2,30545130000000.0
cash_end,2018Q2,31362222000000.0
cash,2018Q3,33088093000000.0
ar,2018Q3,41940008000000.0
inventory,2018Q3,28242807000000.0
assets_total,2018Q3,337195786000000.0
cash,2018Q3,2542963000000.0
cash_begin,2018Q3,30545130000000.0
cash_end,2018Q3,33088093000000.0
cash,2018Q4,30340505000000.0
ar,2018Q4,33867733000000.0
inventory,2018Q4,28984704000000.0
assets_total,2018Q4,339357244000000.0
cash,2018Q4,-204625000000.0
cash_begin,2018Q4,30545130000000.0
cash_end,2018Q4,30340505000000.0
cash,2019Q1,26676045000000.0
ar,2019Q1,36709252000000.0
inventory,2019Q1,31455994000000.0
assets_total,2019Q1,345067883000000.0
cash,2019Q1,-3664460000000.0
cash_begin,2019Q1,30340505000000.0
cash_end,2019Q1,26676045000000.0
cash,2019Q2,27531931000000.0
ar,2019Q2,36061645000000.0
inventory,2019Q2,31246985000000.0
assets_total,2019Q2,342940134000000.0
cash_change,2019Q2,-2808574000000.0
cash_begin,2019Q2,30340505000000.0
cash_end,2019Q2,27531931000000.0
cash,2019Q3,26604994000000.0
ar,2019Q3,40367204000000.0
inventory,2019Q3,30908762000000.0
assets_total,2019Q3,353385985000000.0
cash_change,2019Q3,-3735511000000.0
cash_begin,2019Q3,30340505000000.0
cash_end,2019Q3,26604994000000.0
cash,2019Q4,26885999000000.0
ar,2019Q4,35131343000000.0
inventory,2019Q4,26766464000000.0
assets_total,2019Q4,352564497000000.0
cash_change,2019Q4,-3454506000000.0
cash_begin,2019Q4,30340505000000.0
cash_end,2019Q4,26885999000000.0
cash,2020Q1,27916683000000.0
ar,2020Q1,36388583000000.0
inventory,2020Q1,28454895000000.0
assets_total,2020Q1,357457535000000.0
cash_change,2020Q1,1030684000000.0
cash_begin,2020Q1,26885999000000.0
cash_end,2020Q1,27916683000000.0
cash,2020Q2,36109613000000.0
ar,2020Q2,32989762000000.0
inventory,2020Q2,29645529000000.0
assets_total,2020Q2,357959499000000.0
cash_change,2020Q2,9223614000000.0
cash_begin,2020Q2,26885999000000.0
cash_end,2020Q2,36109613000000.0
cash,2020Q3,26566097000000.0
ar,2020Q3,40379873000000.0
inventory,2020Q3,32442857000000.0
assets_total,2020Q3,375788742000000.0
cash_change,2020Q3,-319902000000.0
cash_begin,2020Q3,26885999000000.0
cash_end,2020Q3,26566097000000.0
cash,2020Q4,29382578000000.0
ar,2020Q4,30965058000000.0
inventory,2020Q4,32043145000000.0
assets_total,2020Q4,378235718000000.0
cash_change,2020Q4,2496579000000.0
cash_begin,2020Q4,26885999000000.0
cash_end,2020Q4,29382578000000.0
cash,2021Q1,41039591000000.0
ar,2021Q1,33962077000000.0
inventory,2021Q1,30619976000000.0
assets_total,2021Q1,392826274000000.0
cash_change,2021Q1,11657013000000.0
cash_begin,2021Q1,29382578000000.0
cash_end,2021Q1,41039591000000.0
cash,2021Q2,30683788000000.0
ar,2021Q2,35624916000000.0
inventory,2021Q2,33592385000000.0
assets_total,2021Q2,384777669000000.0
cash_change,2021Q2,1301210000000.0
cash_begin,2021Q2,29382578000000.0
cash_end,2021Q2,30683788000000.0
cash,2021Q3,32675040000000.0
ar,2021Q3,42369691000000.0
inventory,2021Q3,37801695000000.0
assets_total,2021Q3,410420718000000.0
cash_change,2021Q3,3292462000000.0
cash_begin,2021Q3,29382578000000.0
cash_end,2021Q3,32675040000000.0
cash,2021Q4,39031415000000.0
ar,2021Q4,40713415000000.0
inventory,2021Q4,41384404000000.0
assets_total,2021Q4,426621158000000.0
cash_change,2021Q4,9648837000000.0
cash_begin,2021Q4,29382578000000.0
cash_end,2021Q4,39031415000000.0
