period,scope,segment,metric,value,unit,source
2023Q1,segment,Harman,op_profit,0.13,조원,IR_PDF
2023Q1,segment,Harman,revenue,3.17,조원,IR_PDF
2023Q1,segment,MX,revenue,30.74,조원,IR_PDF
2023Q1,segment,MX_NW,op_profit,3.94,조원,IR_PDF
2023Q1,segment,MX_NW,revenue,31.82,조원,IR_PDF
2023Q1,segment,Memory,revenue,8.92,조원,IR_PDF
2023Q1,segment,SDC,op_profit,0.78,조원,IR_PDF
2023Q1,segment,SDC,revenue,6.61,조원,IR_PDF
2023Q1,segment,VD,revenue,7.43,조원,IR_PDF
2023Q1,segment,consolidated_total,op_profit,0.64,조원,IR_PDF
2023Q1,segment,consolidated_total,revenue,63.75,조원,IR_PDF
2023Q2,segment,Harman,op_profit,0.25,조원,IR_PDF
2023Q2,segment,Harman,revenue,3.5,조원,IR_PDF
2023Q2,segment,MX,revenue,24.61,조원,IR_PDF
2023Q2,segment,Memory,revenue,8.97,조원,IR_PDF
2023Q2,segment,SDC,op_profit,0.84,조원,IR_PDF
2023Q2,segment,SDC,revenue,6.48,조원,IR_PDF
2023Q2,segment,VD,revenue,7.25,조원,IR_PDF
2023Q2,segment,VD_DA,op_profit,0.74,조원,IR_PDF
2023Q2,segment,VD_DA,revenue,14.39,조원,IR_PDF
2023Q2,segment,consolidated_total,op_profit,0.67,조원,IR_PDF
2023Q2,segment,consolidated_total,revenue,60.01,조원,IR_PDF
2023Q3,segment,Harman,op_profit,0.45,조원,IR_PDF
2023Q3,segment,Harman,revenue,3.8,조원,IR_PDF
2023Q3,segment,MX,revenue,29.25,조원,IR_PDF
2023Q3,segment,Memory,revenue,10.53,조원,IR_PDF
2023Q3,segment,SDC,op_profit,1.94,조원,IR_PDF
2023Q3,segment,SDC,revenue,8.22,조원,IR_PDF
2023Q3,segment,VD,revenue,7.32,조원,IR_PDF
2023Q3,segment,VD_DA,op_profit,0.38,조원,IR_PDF
2023Q3,segment,VD_DA,revenue,13.71,조원,IR_PDF
2023Q3,segment,consolidated_total,op_profit,2.43,조원,IR_PDF
2023Q3,segment,consolidated_total,revenue,67.4,조원,IR_PDF
2023Q4,segment,DS,revenue,21.7,조원,IR_PDF
2023Q4,segment,DX,op_profit,2.6,조원,IR_PDF
2023Q4,segment,DX,revenue,39.5,조원,IR_PDF
2023Q4,segment,Harman,op_profit,0.3,조원,IR_PDF
2023Q4,segment,Harman,revenue,3.9,조원,IR_PDF
2023Q4,segment,MX,revenue,24.0,조원,IR_PDF
2023Q4,segment,MX_NW,op_profit,2.7,조원,IR_PDF
2023Q4,segment,MX_NW,revenue,25.0,조원,IR_PDF
2023Q4,segment,Memory,revenue,15.7,조원,IR_PDF
2023Q4,segment,SDC,op_profit,2.0,조원,IR_PDF
2023Q4,segment,SDC,revenue,9.7,조원,IR_PDF
2023Q4,segment,VD,revenue,8.4,조원,IR_PDF
2023Q4,segment,VD_DA,revenue,14.3,조원,IR_PDF
2023Q4,segment,consolidated_total,op_profit,2.8,조원,IR_PDF
2023Q4,segment,consolidated_total,revenue,67.8,조원,IR_PDF
2023Y,segment,DS,revenue,3.0,조원,IR_PDF
2023Y,segment,DX,op_profit,1.1,조원,IR_PDF
2023Y,segment,DX,revenue,10.0,조원,IR_PDF
2023Y,segment,Harman,op_profit,0.04,조원,IR_PDF
2023Y,segment,Harman,revenue,11.0,조원,IR_PDF
2023Y,segment,MX,revenue,17.0,조원,IR_PDF
2023Y,segment,MX_NW,op_profit,0.7,조원,IR_PDF
2023Y,segment,MX_NW,revenue,15.0,조원,IR_PDF
2023Y,segment,Memory,revenue,3.0,조원,IR_PDF
2023Y,segment,SDC,op_profit,0.6,조원,IR_PDF
2023Y,segment,SDC,revenue,2.0,조원,IR_PDF
2023Y,segment,VD,revenue,13.0,조원,IR_PDF
2023Y,segment,VD_DA,revenue,2.0,조원,IR_PDF
2023Y,segment,consolidated_total,op_profit,2.7,조원,IR_PDF
2023Y,segment,consolidated_total,revenue,4.0,조원,IR_PDF
2024Q1,segment,Harman,op_profit,0.24,조원,IR_PDF
2024Q1,segment,Harman,revenue,3.2,조원,IR_PDF
2024Q1,segment,MX,revenue,32.79,조원,IR_PDF
2024Q1,segment,MX_NW,op_profit,3.51,조원,IR_PDF
2024Q1,segment,MX_NW,revenue,33.53,조원,IR_PDF
2024Q1,segment,Memory,revenue,17.49,조원,IR_PDF
2024Q1,segment,SDC,op_profit,0.34,조원,IR_PDF
2024Q1,segment,SDC,revenue,5.39,조원,IR_PDF
2024Q1,segment,VD,revenue,7.23,조원,IR_PDF
2024Q1,segment,VD_DA,op_profit,0.53,조원,IR_PDF
2024Q1,segment,VD_DA,revenue,13.48,조원,IR_PDF
2024Q1,segment,consolidated_total,op_profit,6.61,조원,IR_PDF
2024Q1,segment,consolidated_total,revenue,71.92,조원,IR_PDF
2024Q2,segment,Harman,op_profit,0.32,조원,IR_PDF
2024Q2,segment,Harman,revenue,3.62,조원,IR_PDF
2024Q2,segment,MX,revenue,26.64,조원,IR_PDF
2024Q2,segment,Memory,revenue,21.74,조원,IR_PDF
2024Q2,segment,SDC,op_profit,1.01,조원,IR_PDF
2024Q2,segment,SDC,revenue,7.65,조원,IR_PDF
2024Q2,segment,VD,revenue,7.54,조원,IR_PDF
2024Q2,segment,VD_DA,op_profit,0.49,조원,IR_PDF
2024Q2,segment,VD_DA,revenue,14.42,조원,IR_PDF
2024Q2,segment,consolidated_total,op_profit,10.44,조원,IR_PDF
2024Q2,segment,consolidated_total,revenue,74.07,조원,IR_PDF
2024Q3,segment,DS,revenue,29.3,조원,IR_PDF
2024Q3,segment,DX,op_profit,3.4,조원,IR_PDF
2024Q3,segment,DX,revenue,45.0,조원,IR_PDF
2024Q3,segment,Harman,op_profit,0.4,조원,IR_PDF
2024Q3,segment,Harman,revenue,3.5,조원,IR_PDF
2024Q3,segment,MX,revenue,30.0,조원,IR_PDF
2024Q3,segment,MX_NW,op_profit,2.8,조원,IR_PDF
2024Q3,segment,MX_NW,revenue,30.5,조원,IR_PDF
