품목명,품목코드,metric,value,yyyymm,year,month,date,quarter
가공공작기계부품,22110,출하지수201501,98.6,201501,2015,1,2015-01-01,2015Q1
금속 주조 및 기타 야금용 기계,22120,출하지수201501,98.5,201501,2015,1,2015-01-01,2015Q1
건설광산기계부품,22130,출하지수201501,99.4,201501,2015,1,2015-01-01,2015Q1
음식료품 및 담배 가공기계부품,22140,출하지수201501,98.6,201501,2015,1,2015-01-01,2015Q1
기타 섬유기계부품,22150,출하지수201501,98.8,201501,2015,1,2015-01-01,2015Q1
반도체 및 평판디스플레이 제조용 기계,22160,출하지수201501,98.6,201501,2015,1,2015-01-01,2015Q1
산업용 로봇 부품,22170,출하지수201501,97.5,201501,2015,1,2015-01-01,2015Q1
기타 특수목적용 기계부품,22190,출하지수201501,101.7,201501,2015,1,2015-01-01,2015Q1
전기장비부품,24000,출하지수201501,90.5,201501,2015,1,2015-01-01,2015Q1
전동기 및 발전기,24010,출하지수201501,93.3,201501,2015,1,2015-01-01,2015Q1
변압기 및 정지형 변환기,24020,출하지수201501,69.0,201501,2015,1,2015-01-01,2015Q1
전기공급 및 전기제어장치,24030,출하지수201501,85.8,201501,2015,1,2015-01-01,2015Q1
일차전지 및 축전지,24040,출하지수201501,108.4,201501,2015,1,2015-01-01,2015Q1
절연선 및 케이블,24050,출하지수201501,87.5,201501,2015,1,2015-01-01,2015Q1
전구 및 조명장치,24060,출하지수201501,94.0,201501,2015,1,2015-01-01,2015Q1
가정용 기기,24070,출하지수201501,87.1,201501,2015,1,2015-01-01,2015Q1
기타 전기장비,24090,출하지수201501,81.4,201501,2015,1,2015-01-01,2015Q1
전자부품,25000,출하지수201501,95.7,201501,2015,1,2015-01-01,2015Q1
전자집적회로,25010,출하지수201501,80.6,201501,2015,1,2015-01-01,2015Q1
"다이오드, 트랜지스터 및 유사 반도체소자",25020,출하지수201501,93.6,201501,2015,1,2015-01-01,2015Q1
평판디스플레이,25030,출하지수201501,98.9,201501,2015,1,2015-01-01,2015Q1
