period,segment_code,segment_name_en,lineage_group,metric,value,scope,unit,source
2022Q1,MX,Mobile eXperience,Consumer&Mobile,revenue,28.2,,조원,IR_PDF
2022Q1,MX_NW,MX & Network,Consumer&Mobile,op_profit,4.39,,조원,IR_PDF
2022Q1,MX_NW,MX & Network,Consumer&Mobile,revenue,29.21,,조원,IR_PDF
2022Q1,Memory,Memory,Semiconductor,revenue,14.43,,조원,IR_PDF
2022Q1,SDC,Samsung Display,Display,op_profit,0.36,,조원,IR_PDF
2022Q1,SDC,Samsung Display,Display,revenue,6.92,,조원,IR_PDF
2022Q1,Total,Total,Total,op_profit,9.38,,조원,IR_PDF
2022Q1,Total,Total,Total,revenue,65.39,,조원,IR_PDF
2022Q1,VD,Visual Display,Consumer&Mobile,revenue,7.22,,조원,IR_PDF
2022Q1,VD_DA,VD & Home Appliances,Consumer&Mobile,op_profit,1.12,,조원,IR_PDF
2022Q1,VD_DA,VD & Home Appliances,Consumer&Mobile,revenue,12.99,,조원,IR_PDF
2022Q2,DS,Device Solutions,Semiconductor,op_profit,9.98,,조원,IR_PDF
2022Q2,DS,Device Solutions,Semiconductor,revenue,28.5,,조원,IR_PDF
2022Q2,DX,Device eXperience,Consumer&Mobile,op_profit,3.02,,조원,IR_PDF
2022Q2,DX,Device eXperience,Consumer&Mobile,revenue,44.46,,조원,IR_PDF
2022Q2,Harman,Harman,Harman,op_profit,0.1,,조원,IR_PDF
2022Q2,Harman,Harman,Harman,revenue,2.98,,조원,IR_PDF
2022Q2,MX,Mobile eXperience,Consumer&Mobile,revenue,28.0,,조원,IR_PDF
2022Q2,MX_NW,MX & Network,Consumer&Mobile,op_profit,2.62,,조원,IR_PDF
2022Q2,MX_NW,MX & Network,Consumer&Mobile,revenue,29.34,,조원,IR_PDF
2022Q2,Memory,Memory,Semiconductor,revenue,21.08,,조원,IR_PDF
2022Q2,SDC,Samsung Display,Display,op_profit,1.06,,조원,IR_PDF
2022Q2,SDC,Samsung Display,Display,revenue,7.71,,조원,IR_PDF
2022Q2,Total,Total,Total,op_profit,14.1,,조원,IR_PDF
2022Q2,Total,Total,Total,revenue,77.2,,조원,IR_PDF
2022Q2,VD,Visual Display,Consumer&Mobile,revenue,7.54,,조원,IR_PDF
2022Q2,VD_DA,VD & Home Appliances,Consumer&Mobile,op_profit,0.36,,조원,IR_PDF
2022Q2,VD_DA,VD & Home Appliances,Consumer&Mobile,revenue,14.83,,조원,IR_PDF
2022Q3,DS,Device Solutions,Semiconductor,op_profit,5.12,,조원,IR_PDF
2022Q3,DS,Device Solutions,Semiconductor,revenue,23.02,,조원,IR_PDF
2022Q3,DX,Device eXperience,Consumer&Mobile,op_profit,3.53,,조원,IR_PDF
2022Q3,DX,Device eXperience,Consumer&Mobile,revenue,47.26,,조원,IR_PDF
2022Q3,Harman,Harman,Harman,op_profit,0.31,,조원,IR_PDF
2022Q3,Harman,Harman,Harman,revenue,3.63,,조원,IR_PDF
2022Q3,MX,Mobile eXperience,Consumer&Mobile,revenue,30.92,,조원,IR_PDF
2022Q3,MX_NW,MX & Network,Consumer&Mobile,op_profit,3.24,,조원,IR_PDF
2022Q3,MX_NW,MX & Network,Consumer&Mobile,revenue,32.21,,조원,IR_PDF
2022Q3,Memory,Memory,Semiconductor,revenue,15.23,,조원,IR_PDF
2022Q3,SDC,Samsung Display,Display,op_profit,1.98,,조원,IR_PDF
2022Q3,SDC,Samsung Display,Display,revenue,9.39,,조원,IR_PDF
2022Q3,Total,Total,Total,op_profit,10.85,,조원,IR_PDF
2022Q3,Total,Total,Total,revenue,76.78,,조원,IR_PDF
2022Q3,VD,Visual Display,Consumer&Mobile,revenue,7.86,,조원,IR_PDF
2022Q3,VD_DA,VD & Home Appliances,Consumer&Mobile,op_profit,0.25,,조원,IR_PDF
2022Q3,VD_DA,VD & Home Appliances,Consumer&Mobile,revenue,14.75,,조원,IR_PDF
2022Q4,DS,Device Solutions,Semiconductor,op_profit,0.27,,조원,IR_PDF
2022Q4,DS,Device Solutions,Semiconductor,revenue,20.07,,조원,IR_PDF
2022Q4,DX,Device eXperience,Consumer&Mobile,op_profit,1.64,,조원,IR_PDF
2022Q4,DX,Device eXperience,Consumer&Mobile,revenue,42.71,,조원,IR_PDF
2022Q4,Harman,Harman,Harman,op_profit,0.37,,조원,IR_PDF
2022Q4,Harman,Harman,Harman,revenue,3.94,,조원,IR_PDF
2022Q4,MX,Mobile eXperience,Consumer&Mobile,revenue,25.28,,조원,IR_PDF
2022Q4,MX_NW,MX & Network,Consumer&Mobile,op_profit,1.7,,조원,IR_PDF
2022Q4,MX_NW,MX & Network,Consumer&Mobile,revenue,26.9,,조원,IR_PDF
2022Q4,Memory,Memory,Semiconductor,revenue,12.14,,조원,IR_PDF
2022Q4,SDC,Samsung Display,Display,op_profit,1.82,,조원,IR_PDF
2022Q4,SDC,Samsung Display,Display,revenue,9.31,,조원,IR_PDF
2022Q4,Total,Total,Total,op_profit,4.31,,조원,IR_PDF
2022Q4,Total,Total,Total,revenue,70.46,,조원,IR_PDF
2022Q4,VD,Visual Display,Consumer&Mobile,revenue,9.16,,조원,IR_PDF
2022Q4,VD_DA,VD & Home Appliances,Consumer&Mobile,op_profit,-0.06,,조원,IR_PDF
2022Q4,VD_DA,VD & Home Appliances,Consumer&Mobile,revenue,15.58,,조원,IR_PDF
